Question,Answer
- Tezde başarılı olamayan öğrencilere talepleri halinde hangi maddedeki hükümler uygulanır?,"Sorunuz, metnin 22. maddesinin son cümlesine dayanıyor. Metnin son cümlesi, ""Tezde başarılı olamayan öğrencilere talepleri halinde 17 nci maddenin hükümleri uygulanır."" şeklindedir. Bu nedenle, tezde başarılı olamayan öğrencilere, 17. maddedeki hükümler uygulanır.  

**Ancak** sorunun yanıtı tam olarak verilebilmesi için metnin 17. maddesinin içeriğinin de bilinmesi gerekir. Verdiğiniz metin, sadece doktora yeterlik sınavı, tez savunma ve doktora tezinin sonuçlandırılması ile ilgili bölümleri kapsıyor. 17. madde bu metinde yer almamaktadır. 

Bu nedenle, 17. maddedeki hükümlerin ne olduğunu tam olarak bilmeden, tezde başarılı olamayan öğrencilere hangi hükümlerin uygulandığını kesin olarak söyleyemeyiz. 

Eğer 17. madde metninde mevcutsa, lütfen metnin tamamını paylaşın, böylece size daha ayrıntılı bir cevap verebilirim."
- Yüksek lisans programına geçme şartları nasıl belirlenir?,"Metinde, lisans derecesi ile doktora programına kabul edilmiş ve en az yedi dersini başarı ile tamamlamış bir öğrencinin yüksek lisans programına geçebileceği belirtiliyor. Ancak, yüksek lisans programına geçme şartları, senato tarafından hazırlanacak yönetmelikle belirlenmektedir.

Yani, yüksek lisans programına geçme şartları, üniversitelerin kendi senatoları tarafından belirlenir. Bu şartlar, üniversitelerin disiplinleri, kaynakları ve diğer özel koşullarına göre değişebilir. 

Bu nedenle, yüksek lisans programına geçme şartları hakkında daha ayrıntılı bilgi edinmek için ilgili üniversitenin web sitesini ziyaret etmeniz veya ilgili birime ulaşmanız önerilir."
- Lisans derecesi ile doktora programına kabul edilmiş ve en az yedi dersini başarı ile tamamlamış bir öğrenci hangi programa geçebilir?,"Metne göre, Lisans derecesi ile doktora programına kabul edilmiş ve en az yedi dersini başarı ile tamamlamış bir öğrenci **yüksek lisans programına** geçebilir.  

Ancak bu durum,  Türk eğitim sistemiyle ilgili olarak şu önemli noktayı göz önünde bulundurmayı gerektiriyor: 

* **Türkiye'de lisans derecesi ile doğrudan doktora programına başvuru yapılabilir.** Yüksek lisans programına geçiş zorunlu değildir. Dolayısıyla, metinde bahsedilen durum, Türkiye'deki eğitim sisteminde tam olarak uygulanmayabilir. 

Bu metnin, yüksek lisans programı ile doktora programını birleştiren özel bir enstitü veya üniversite için geçerli bir yönetmelik parçası olduğu düşünülebilir."
- Doktora programındaki bir öğrenci tezinin sonuçlanabilmesi için kaç tez izleme komitesi raporu sunmalıdır?,"Bu metne göre, doktora programındaki bir öğrenci tezinin sonuçlanabilmesi için **en az üç tez izleme komitesi raporu** sunmalıdır. 

Bu raporlar, öğrencinin tez çalışmasının ilerlemesi hakkında düzenli olarak komiteye bilgi vermesini sağlar ve komiteye çalışmanın devamı için gerekli olan onayları sağlama olanağı tanır."
- Tez izleme komitesinde hangi üyeler yer alır?,"Türk eğitim sistemindeki doktora programı yönetmeliğine göre tez izleme komitesi üç üyeden oluşur:

* **Tez Danışmanı:** Doktora öğrencisinin çalışmasını yönlendiren ve danışmanlık yapan öğretim üyesidir.
* **Enstitü Anabilim/Anasanat Dalı İçinden Bir Üye:**  Öğrencinin bağlı olduğu bölümden bir başka öğretim üyesidir.
* **Enstitü Anabilim/Anasanat Dalı Dışından Bir Üye:**  Öğrencinin bağlı olduğu bölümün dışında, aynı alanda uzmanlaşmış bir öğretim üyesidir.

İkinci bir danışmanın atanması durumunda, bu danışman da komite toplantılarına katılabilir."
"- Tez izleme komitesi, öğrencinin tez çalışmasını nasıl değerlendirir? ","Sorunuzda bahsedilen metin Türk eğitim sistemindeki doktora tez izleme komitelerinin nasıl çalıştığını gösteriyor. Tez izleme komitesi, öğrencinin doktora çalışmasını şu şekilde değerlendirir:

* **Tez Önerisi Savunması:** Öğrenci tez önerisini komiteye sunar, komite ise önerinin kabul edilebilir, revize edilmesi gerektiriyor veya reddedilmesi gerektiğine karar verir.
* **Tez Çalışmasının İzlenmesi:** Komite, tez önerisi kabul edilen öğrencinin çalışmalarını takip eder ve yılda en az iki kez toplanarak öğrencinin hazırladığı raporları değerlendirir. 
* **Tez Savunması:** Öğrenci tezini tamamladıktan sonra, tez savunması için oluşturulan bir jüri önünde tezi savunur. Jüri, tezin kabul, ret veya revize edilmesi gerektiğine karar verir.

Tez izleme komitesi, öğrencinin çalışmalarını **sürekli** olarak izler ve **yönlendirir**. Bu şekilde, öğrencinin doktora çalışmasını **başarıyla** tamamlamasını sağlamak amaçlanır. Komitenin kararları, öğrencinin doktora programını devam ettirip ettiremeyeceği üzerinde büyük etkiye sahiptir."
- Tez önerisi kabul edilen öğrenci için tez izleme komitesi ne zaman toplanır? ,"Metinde belirtilen bilgiye göre, tez önerisi kabul edilen öğrenci için tez izleme komitesi, **Ocak -Haziran ve Temmuz -Aralık ayları arasında birer defa olmak üzere yılda en az iki kez** toplanır."
- Tez önerisi savunmasına geçerli bir mazereti olmaksızın girmeyen öğrenci ne olur? ,"Türk eğitim sistemi içerisinde, tezin önerisi savunmasına geçerli bir mazereti olmaksızın girmeyen bir öğrencinin durumu şöyledir:

* **Tez önerisi reddedilir:** Öğrenci, 21. maddede belirtildiği üzere, tezin önerisi savunmasına geçerli bir mazereti olmaksızın katılmadığı için, önerisi başarısız sayılır ve reddedilir. 
* **Yeni danışman ve/veya tez konusu seçme hakkı:** Öğrenci, yeni bir danışman ve/veya tez konusu seçme hakkına sahiptir. 
* **Yeniden tez önerisi savunması:** 
    *  Aynı danışmanla devam eden öğrenci, üç ay içinde yeni bir tez önerisi savunmasına girmelidir.
    * Danışmanını ve tez konusunu değiştiren öğrenci ise altı ay içinde yeni bir tez önerisi savunmasına girmelidir.
* **Sonuçlanmayan tez önerisi:**  Eğer öğrenci bu ikinci tez önerisi savunmasında da başarısız olursa, yükseköğretim kurumu ile ilişiği kesilir. 

Kısaca, tez önerisi savunmasına katılmayan öğrenci, ikinci bir şans kazanır. Ancak, bu ikinci şansta da başarılı olamazsa, doktora programından çıkarılır."
- Tezde başarısız bulunan öğrencinin yükseköğretim kurumu ile ilişiği kesilir mi? ,"Metinde belirtildiği üzere, tezde başarısız bulunan öğrencinin yükseköğretim kurumu ile ilişiği kesilir. Bu, doktora programından atılması anlamına gelir. Ancak, bazı durumlarda öğrenci, programdan atılmak yerine bir düzeltme sürecine tabi tutulabilir. 

Yine de, bu metin bir yasal metin olmayıp sadece bir örneğe ait bir dokümandır.  Türk eğitim sisteminde doktora tezinde başarısızlık durumunda öğrenciye uygulanan  tam olarak nasıl bir yaptırım uygulanacağına dair kesin bilgiler için ilgili üniversitelerin resmi yönetmeliklerine başvurmak gerekir."
- Doktora tezinin savunmasından önce öğrenci tezi kime teslim eder?,"Metinde belirtildiği üzere, doktora tezinin savunmasından önce öğrenci tezi **danışmanına** teslim eder. Danışman, tezin savunulabilir olduğuna ilişkin görüşünü belirterek tezi enstitüye teslim eder."
"- Tez jürisi, danışman dahil kaç öğretim üyesinden oluşur?","Sorunuzda bahsedilen metin, bir yükseköğretim kurumunun doktora programı ile ilgili yönetmelik maddesi gibi görünüyor. Metinde **tez jürisinin danışman dahil 5 öğretim üyesinden** oluştuğu belirtiliyor. Ancak **danışmanın oy hakkı olup olmadığına yönetim kurulu karar veriyor.** Danışmanın oy hakkı yoksa jüri 6 öğretim üyesinden oluşuyor. 

**Özetle:**

* **Danışmanın oy hakkı varsa:** Tez jürisi 5 öğretim üyesinden oluşur.
* **Danışmanın oy hakkı yoksa:** Tez jürisi 6 öğretim üyesinden oluşur.

Bu bilgi, sizin sorunuzda geçen metinden çıkarılmış olup, Türk eğitim sisteminin genel bir kuralını yansıtmamaktadır."
- Danışmanın oy hakkı olup olmadığı hususunda kim karar verir?,"Metinde belirtildiği gibi, danışmanın oy hakkı olup olmadığı hususunda **ilgili yönetim kurulu** karar verir. Yani, danışmanın doktora tez jürisinde oy kullanıp kullanamayacağına enstitü yönetim kurulu karar verir."
- Tez savunma toplantıları kimlerin katılımına açık olarak yapılır?,"Metinde belirtildiği üzere, doktora tez savunma toplantıları **öğretim elemanları, lisansüstü öğrenciler ve alanın uzmanlarından oluşan dinleyicilerin katılımına açık** olarak yapılır. 

Bu, tez savunma toplantılarının sadece jüri üyeleri ve öğrenci için değil, aynı zamanda akademik toplumun diğer üyeleri için de  açık olduğunu gösterir. Bu,  tez çalışmasının daha geniş bir kitleye sunulmasını ve tartışılmasını sağlar, böylece öğrencinin araştırması daha eleştirel bir şekilde incelenebilir ve değerlendirilebilir. 

Ayrıca, tez savunma toplantılarına öğrencilerin katılımı,  onların kendi araştırma konularına dair bilgi sahibi olmalarını ve gelecekteki çalışmalarında kullanabilecekleri fikirler edinmelerini sağlar."
- Tez sınavının tamamlanmasından sonra jüri hangi kararları verir? ,"Türk eğitim sisteminde doktora tezi savunma sınavının tamamlanmasından sonra jüri, aşağıdaki üç kararından birini verir:

* **Tez kabul edilir:** Jüri, öğrencinin tezinin araştırma konusu, metodoloji, sonuçlar ve tartışma bölümleri açısından yeterli olduğunu ve bilimsel standartları karşıladığını belirtir. Bu durumda öğrenci doktora derecesine hak kazanır. 
* **Tez reddedilir:** Jüri, öğrencinin tezinin yetersiz olduğunu, araştırma konusunun yeterince derinlemesine incelenmediğini, metodolojide eksiklikler olduğunu veya sonuçların yeterince güçlü olmadığını belirtir. Bu durumda öğrencinin yükseköğretim kurumu ile ilişiği kesilir.
* **Tezde düzeltme yapılır:** Jüri, öğrencinin tezinin genel olarak kabul edilebilir olduğunu ancak bazı eksiklikleri veya hataları olduğunu belirtir. Bu durumda öğrenciye belirli bir süre içerisinde tezi düzeltmesi için süre verilir. Öğrenci, verilen sürede gerekli düzeltmeleri yapıp tezi aynı jüriye yeniden sunar. Bu ikinci sunumda da tezi başarısız bulunan öğrencinin yükseköğretim kurumu ile ilişiği kesilir."
- Doktora yeterlik sınavları nasıl düzenlenir ve yürütülür?,"Doktora yeterlik sınavları, Türk eğitim sisteminde doktora programına kabul edilen öğrencilerin araştırma yeteneklerini ve bilgi birikimlerini ölçmek amacıyla düzenlenir. Bu sınavlar, enstitü anabilim/anasanat dalı başkanlığı tarafından önerilir ve enstitü yönetim kurulu tarafından onaylanır. Sınavlar, 5 kişilik bir doktora yeterlik komitesi tarafından düzenlenir ve yürütülür. 

**Doktora Yeterlik Sınavı Süreci:**

* **Komite Kuruluşu:** Yeterlik sınavı için, farklı alanlardan uzman kişilerden oluşan bir jüri kurulur. Jüri üyelerinden en az ikisi, öğrencinin yükseköğretim kurumu dışında olmalıdır. Danışman da jüride yer alır, ancak oy hakkı olup olmaması ilgili yönetim kurulu tarafından belirlenir.
* **Sınav Türleri:** Yeterlik sınavı, yazılı ve sözlü olmak üzere iki bölümden oluşur. Yazılı sınavda başarılı olan öğrenci, sözlü sınava alınır. Sınavların ağırlıkları ve notlandırma sistemi, yükseköğretim kurumunun yönetmeliklerine göre belirlenir.
* **Sınav Değerlendirmesi:** Jüri, öğrencinin yazılı ve sözlü sınavlardaki performansını değerlendirir ve salt çoğunlukla başarılı veya başarısız olduğuna karar verir. Karar, enstitüye tutanakla bildirilir.
* **Başarısızlık Durumu:** Yeterlik sınavında başarısız olan öğrenci, başarısız olduğu bölüm/bölümlerden bir sonraki yarıyılda tekrar sınava alınır. Bu sınavda da başarısız olursa, doktora programından çıkarılır.

**Yeterlik Sınavına Ek Olarak:**

* **Fazla Dersler:** Yeterlik sınavını geçen bir öğrencinin, ders yükünü tamamlamış olsa bile, toplam kredi miktarının üçte birini geçmemek üzere ek ders alması istenebilir.
* **Yüksek Lisans Programına Geçiş:** Lisans derecesi ile doktora programına kabul edilen ve en az 7 dersi başarıyla tamamlamış bir öğrenci, yüksek lisans programına geçebilir. Yüksek lisans programına geçme şartları, senato tarafından hazırlanacak yönetmelikle belirlenir.

**Özetle, doktora yeterlik sınavı, Türk eğitim sisteminde doktora programına devam eden öğrencilerin akademik yeterliliğini ölçen ve onların araştırma yeteneklerini değerlendiren önemli bir aşamadır.**"
- Sınav jürileri nasıl kurulur?,"Sınav jürileri, Türk eğitim sisteminde, doktora yeterlik sınavlarını ve tez savunmalarını düzenlemek ve değerlendirmek için oluşturulan komitelerdir. Bu komiteler, yükseköğretim kurumlarının yönetim kurulu tarafından onaylanan bir süreçle oluşturulur.

**Doktora Yeterlik Sınavı Jürileri:**

* Doktora yeterlik sınavı jürileri, enstitü anabilim/anasanat dalı başkanlığının önerisi ve enstitü yönetim kurulunun onayıyla oluşturulur. 
* Jüri, en az ikisi kendi yükseköğretim kurumu dışından olmak üzere beş öğretim üyesinden oluşur.
* Danışmanın oy hakkı olup olmadığı hususunda ilgili yönetim kurulu karar verir. Danışmanın oy hakkı yoksa jüri altı öğretim üyesinden oluşur. 
* Jüri üyeleri, sınavı hazırlamak, uygulamak ve değerlendirmek için görevlendirilir. 

**Tez Savunma Jürileri:**

* Doktora tez savunma jürileri, tez izleme komitesindeki üyelerden üçü ve en az ikisi kendi yükseköğretim kurumu dışından olmak üzere, danışman dahil beş öğretim üyesinden oluşur.
* Danışmanın oy hakkı olup olmadığı hususunda ilgili yönetim kurulu karar verir. Danışmanın oy hakkı yoksa jüri altı öğretim üyesinden oluşur. 
* İkinci tez danışmanı da oy hakkı olmaksızın jüride yer alabilir. 

**Jürilerin Görevleri:**

* Sınav sorularını hazırlamak ve uygulamak.
* Sınavları değerlendirmek ve öğrencilerin başarılı olup olmadığına karar vermek.
* Tez önerilerini değerlendirmek ve kabul, düzeltme veya reddetme kararları vermek.
* Doktora tezlerini değerlendirmek ve kabul, ret veya düzeltme kararları vermek.

**Jürilerin Oluşturulması ve Görevlendirme:**

* Jüri üyelerinin uzmanlık alanları, sınav veya tez konusuyla uyumlu olmalıdır.
* Jüri üyeleri, tarafsız ve objektif olmalıdır.
* Jüri üyelerinin, sınav veya tez savunma tarihinden önce, öğrenciyi ve çalışmasını değerlendirmek için yeterli zamanları olmalıdır.

**Önemli Not:**  Bu bilgiler Türk eğitim sisteminin genel çerçevesine göre verilmiştir. Belirli bir üniversite veya enstitü, bu yönetmeliğe ek veya farklı şartlar koyabilir. Dolayısıyla, doktora programına başvuran öğrencilerin, ilgili enstitünün yönetmeliklerini dikkatlice incelemesi gerekir."
- Yeterlik sınavı toplantıları nasıl yapılır?,"Türk eğitim sisteminde, doktora yeterlik sınavı toplantıları **açık bir şekilde**, yani **öğretim elemanları, lisansüstü öğrenciler ve alanın uzmanları** gibi  farklı gruplardan dinleyicilerin katılımına açık olarak yapılır. Bu demek oluyor ki, sınav sadece jüri üyeleri ve öğrencinin katılımıyla değil, aynı zamanda diğer akademisyenler, öğrenciler ve alan uzmanlarının da gözlemleyebileceği bir ortamda gerçekleşir. Bu durum, sınavın şeffaflığını ve kamuoyu denetimini sağlamaya yöneliktir."
- Yeterlik sınavı kaç bölüm halinde yapılır?,"Metinde belirtildiği üzere Yeterlik sınavı **iki bölüm** halinde yapılır:

* **Yazılı Sınav:** Bu sınavda başarılı olan öğrenci sözlü sınava alınır.
* **Sözlü Sınav:** Yazılı sınavda başarılı olan öğrenci bu sınava alınır.

Bu bilgilerden anlaşıldığı üzere, Türk eğitim sistemindeki doktora yeterlik sınavı iki aşamalıdır."
- Yeterlik sınavı sonuçları nasıl bildirilir?,"Metinde belirtildiği üzere, yeterlik sınavı sonuçları enstitü anabilim/anasanat dalı başkanlığı tarafından yeterlik sınavını izleyen üç gün içinde enstitüye tutanakla bildirilir. 

Yani, sınav sonucunda başarılı olan veya başarısız olan öğrenci hakkında karar verildikten sonra, bu karar resmi olarak enstitüye bir tutanakla bildirilir. Tutanakta öğrencinin adı, soyadı, sınav sonucu (başarılı/başarısız) gibi bilgiler yer alır. 

Bu, Türk eğitim sistemi içerisinde, yükseköğretim kurumlarında kullanılan standart bir işlemdir. Sonuçlar resmi bir dokümanla kayıt altına alınır ve ilgili birimlere iletilen tutanak, öğrencinin durumunun resmen belirlenmesini sağlar."
- Yeterlik sınavında başarısız olan öğrenci ne olur?,"Türk eğitim sisteminde, doktora yeterlik sınavında başarısız olan öğrenci, başarısız olduğu bölüm/bölümlerden bir sonraki yarıyılda tekrar sınava alınır. Ancak bu sınavda da başarısız olursa, doktora programı ile ilişiği kesilir. 

Yani, öğrenci ikinci bir şans daha kazanır, ancak başarısızlığı tekrarlarsa programdan uzaklaştırılır."
- Yeterlik sınavında başarılı olan öğrenci için ne yapılır?,"Yeterlik sınavında başarılı olan öğrenci için Türk eğitim sistemi içerisinde şu adımlar izlenir:

* **Tez İzleme Komitesi Oluşturulur:** Öğrenci için ilgili enstitü anabilim/anasanat dalı başkanlığının önerisi ve enstitü yönetim kurulu onayı ile bir ay içinde bir tez izleme komitesi oluşturulur. Bu komite, öğrencinin doktora tez süreci boyunca danışmanlık ve yönlendirme sağlayacaktır.
* **Tez Önerisi Savunması:** Öğrenci en geç altı ay içinde tez çalışmasının amacını, yöntemini ve çalışma planını kapsayan tez önerisini tez izleme komitesi önünde sözlü olarak savunur. 
* **Tez Çalışması:** Tez önerisi kabul edilen öğrenci, tez izleme komitesinin gözetimi altında tez çalışmasını yürütür. Komite yılda en az iki kez toplanarak öğrencinin çalışmasını değerlendirir ve yönlendirir.
* **Doktora Tezi Savunması:** Öğrenci, tamamladığı tezini jüri önünde sözlü olarak savunur. Jüri, danışman ve enstitü anabilim/anasanat dalı başkanlığının önerisi ve enstitü yönetim kurulu onayı ile atanır. 
* **Doktora Derecesi:** Tezi başarıyla savunan öğrenciye doktora derecesi verilir.

Yeterlik sınavını geçen bir öğrenci, doktora çalışmaları için gerekli olan danışmanlık ve yönlendirmeyi alır, tez önerisi ve çalışmalarını komite önünde savunur ve sonunda doktora derecesi alma şansına sahip olur."
- Türkiye'de tez savunma toplantıları nasıl gerçekleştirilir?,"Sorunuzu anlıyorum. Türkiye'de tez savunma toplantıları, yüksek lisans ve doktora öğrencilerinin tezlerini tamamladıktan sonra gerçekleşen, akademik bir değerlendirme sürecidir. 

**Tez Savunma Toplantıları Nasıl Gerçekleşir?**

1. **Hazırlık:** Öğrenci, tez danışmanıyla birlikte tezin içeriğini belirler, araştırmasını tamamlar ve tezi yazar. Tez, jüri tarafından onaylanan bir formata göre düzenlenir.
2. **Jüri Oluşturulması:** Tez savunma için bir jüri oluşturulur. Jüri, genellikle ilgili alanın uzmanlarından, doçent veya profesörlerden oluşur. Öğrencinin danışmanı da jüride yer alır.
3. **Toplantı:** Tez savunma toplantısı, jüri üyelerinin, öğrencinin tez çalışmasını değerlendirdiği, sorular sorduğu ve öğrencinin savunmasını dinlediği bir oturumdur.  Toplantı, genellikle üniversitenin belirlediği bir salonda yapılır. 
4. **Sunum:** Öğrenci, jüriye tezi hakkında ayrıntılı bir sunum yapar. Bu sunum, tez çalışmasının ana konularını, araştırma yöntemlerini, bulguları ve sonuçlarını içerir.
5. **Soru-Cevap:** Sunumun ardından, jüri üyeleri öğrenciye tezle ilgili sorular sorar. Öğrencinin, soruları yanıtlamaya hazır olması ve teziyle ilgili görüşlerini savunabilmesi önemlidir.
6. **Değerlendirme:** Jüri, öğrencinin sunumunu ve yanıtlarını değerlendirerek, tezin kabul edilip edilmeyeceğine karar verir.  
7. **Sonuç:** Jüri, toplantı sonrasında, tez hakkında kararını verir. Bu karar, tezin kabul edilmesi, reddedilmesi veya düzeltmelerle kabul edilmesi olabilir.  
8. **Tutanak:** Karar, tutanakla belgelenir ve ilgili enstitüye bildirilir.

**Tez Savunma Toplantıları ile İlgili Ek Bilgiler:**

* Toplantıya, öğrencinin danışmanı, jüri üyeleri, diğer öğretim elemanları, lisansüstü öğrenciler ve alanın uzmanları katılabilir.
* Toplantı, genellikle açık olarak yapılır, yani herkesin katılımına açıktır. 
* Tez sınavının tamamlanmasından sonra jüri, dinleyicilere kapalı olarak, tez hakkında karar verir. Bu karar, salt çoğunlukla kabul, ret veya düzeltme kararıdır.
* Tezi kabul edilen öğrenciler başarılı olarak değerlendirilir ve diploma almaya hak kazanırlar.
* Tezi başarısız bulunarak reddedilen öğrencinin yükseköğretim kurumu ile ilişiği kesilir.
* Tezi hakkında düzeltme kararı verilen öğrenci, en geç altı ay içinde gerekli düzeltmeleri yaparak tezi aynı jüri önünde yeniden savunur.
* Bu savunmada da başarısız bulunan öğrencinin yükseköğretim kurumu ile ilişiği kesilir.

**Umarım bu bilgiler sorunuzu yanıtlamıştır.**"
- Tez sınavında başarılı olamayan lisansüstü öğrencilere hangi seçenekler sunulur?,"Türk eğitim sisteminde, tez sınavında başarılı olamayan lisansüstü öğrencilere şu seçenekler sunulur:

* **Tez Düzeltmesi:** Öğrenci, jüri tarafından belirlenen düzeltmeleri en geç altı ay içinde yaparak tezini aynı jüri önünde yeniden savunur. Bu savunmada da başarılı olamaması durumunda yükseköğretim kurumu ile ilişiği kesilir.
* **Tezsiz Yüksek Lisans Diploması:**  Öğrenci, talep etmesi durumunda, tezsiz yüksek lisans diploması alma hakkına sahiptir. Bu diploma, 17. madde'nin dördüncü fıkrası uyarınca verilir.

Tezsiz yüksek lisans diploması, tezli yüksek lisans diplomasından farklı bir diploma olup, öğrencinin akademik kariyerinde bazı dezavantajlar yaratabilir. Örneğin, tezsiz yüksek lisans diploması ile doktora programına kabul edilmesi daha zor olabilir.

Özetle, tez sınavında başarısız olan lisansüstü öğrencisi, tezi düzeltme veya tezsiz yüksek lisans diploması alma seçenekleri arasından birini seçebilir."
- Doktora tezinin ciltlenmiş kopyaları ne zaman ve nereye teslim edilmelidir?,"Doktora tezinin ciltlenmiş kopyaları, tez savunmasında başarılı olduktan sonra, tez sınavına giriş tarihinden itibaren bir ay içinde ilgili enstitüye teslim edilmelidir."
- Doktora diploması üzerinde hangi bilgiler yer alır?,"Doktora diploması üzerinde, Türk eğitim sistemi çerçevesinde şu bilgiler yer alır:

* **Üniversite adı:** Öğrencinin doktora derecesini aldığı üniversitenin adı.
* **Fakülte/Enstitü adı:**  Doktora derecesinin alındığı fakülte veya enstitünün adı.
* **Anabilim/Anasanat Dalı:**  Doktora tez çalışmasının yapıldığı anabilim dalı veya anasanat dalının adı.
* **Doktora Programı:** Doktora derecesinin alındığı programın adı (örneğin, ""Doktora Programı: Moleküler Biyoloji"").
* **Öğrencinin adı ve soyadı:** Öğrencinin tam adı ve soyadı.
* **Doktora Tezinin başlığı:** Öğrencinin yazdığı doktora tezinin başlığı.
* **Mezuniyet tarihi:**  Doktora tez sınavının jüri tarafından onaylandığı ve tezin teslim edildiği tarih. 
* **Danışmanının adı ve unvanı:** Doktora tez çalışmasını yürüten danışmanın adı ve unvanı (örneğin, ""Prof. Dr. [Danışman Adı]"").
* **Üniversite logosu:** Öğrencinin mezun olduğu üniversitenin logosu.
* **Yükseköğretim Kurulu onaylı program adı:** Doktora programının Yükseköğretim Kurulu tarafından onaylanmış adı. 
* **Diploma numarası:**  Doktora diplomasının benzersiz numarası.
* **İmza ve mühür:**  Üniversite rektörünün imzası ve üniversitenin mührü. 

Ek olarak, diploma üzerinde bazı üniversiteler tarafından aşağıdaki bilgiler de yer alabilir:

* **Yüksek lisans diploması:** Öğrencinin daha önce aldığı yüksek lisans diploması bilgisi (Eğer varsa).
* **Öğrenci fotoğrafı:**  Öğrencinin diploma üzerinde bir fotoğrafı.
* **Dil bilgisi:** Eğer varsa, öğrencinin yabancı dil yeterliliği bilgisi (örneğin, ""İngilizce: Yeterli"").

Bu bilgiler, Türk yükseköğretim sisteminde doktora diploması için genel olarak geçerlidir. Ancak, bazı özel durumlar veya üniversitelerin kendi uygulamaları nedeniyle bu bilgilerde farklılıklar olabilir."
- Türkiye'de Sanatta Yeterlik Programı'nın amacı nedir?,"Sanatta Yeterlik Programı, Türk yükseköğretim sisteminde **doktora eşdeğeri** bir programdır. Amaçları, özgün bir sanat eseri yaratmak, müzik ve sahne sanatlarında ise üstün bir uygulama ve yaratıcılığı ortaya koymaktır. Bu program, sanat alanında uzmanlaşmak isteyenler için bir yol sunar ve onları sanat dünyasına hazırlar."
- Sanatta Yeterlik Programı'na başvurmak için hangi şartlar aranır?,"Sanatta yeterlik programına başvurmak için, Türk eğitim sistemi'nde belirlenen bazı şartları sağlamanız gerekiyor:

**Genel Şartlar:**

* **Lisans veya Yüksek Lisans Diploması:** Sanatta yeterlik programına başvurmak için öncelikle lisans veya yüksek lisans diplomasına sahip olmanız gerekiyor.
* **ALES Puanı:** 
    * **Yüksek lisans derecesiyle başvuranlar:** ALES sözel puan türünde en az 55 puan.
    * **Lisans derecesiyle başvuranlar:** ALES sözel puan türünde en az 80 puan. 
* **Lisans Mezuniyet Not Ortalaması:** Lisans derecesiyle başvuranlar için lisans mezuniyet not ortalamasının 4 üzerinden en az 3 veya muadili olması gerekiyor.
* **Yabancı Dil Sınavı:** (Değişik:RG -18/5/2021 -31485) Anadilleri dışında, Yükseköğretim Kurulu tarafından kabul edilen merkezî yabancı dil sınavları veya eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından en az 55 puan veya ÖSYM tarafından eşdeğerliği kabul edilen uluslararası yabancı dil sınavlarından bu puan muadili bir puan almanız gerekiyor. Bu asgari puanlar, girilecek programların özelliklerine göre üniversite senatoları tarafından yükseltilebilir.
    * **İstisnalar:**  
        * %70 ve üzeri işitme engeli olan adaylar
        * %50 ve üzeri zihin yetersizliği olan adaylar
        * %40 ve üzeri yaygın gelişimsel bozukluk tanısı olan adaylar
        bu adaylar için yabancı dil puanı aranmaz.

**Ek Değerlendirme:**

* **Mülakat/Yetenek Sınavı/Portfolyö İncelemesi:** Sanatta yeterlik programlarına kabul sürecinde, ALES puanınız, yüksek lisans not ortalamanız, mülakat/yetenek sınavı/portfolyö incelemesi sonuçlarınız da değerlendirilebilir. 
* **Referans Mektubu:** Başvuru için referans mektubu sunmanız gerekebilir.
* **Kompozisyon:** Neden sanatta yeterlik yapmak istediğinizi belirten bir kompozisyon yazmanız istenebilir.
* **Uluslararası Standart Sınavlar:** Başvuru için uluslararası standart sınavlardan aldığınız puanları da sunmanız gerekebilir.
* **Diğer Belgeler:**  Senato tarafından belirlenen diğer belgeler.

**Önemli Not:**

* Sanatta yeterlik programına kabul şartları üniversiteden üniversiteye değişebilir. Başvuru yapmadan önce, ilgili üniversitenin web sitesini ziyaret ederek en güncel bilgileri edinmeniz önerilir.

Umarım bu bilgiler yardımcı olmuştur. Başvurularınızda bol şans!"
